ID,fdr_pval,pval,zval,Gene_Name
GOLGA8A,0.002437614,3.11E-05,-4.16512902,golgin A8 family member A
TRIL,0.002498151,3.21E-05,-4.158114462,TLR4 interactor with leucine rich repeats
CLDN22 /// WWC2,0.002566337,3.32E-05,-4.150549168,NA
CDIP1,0.002597059,3.40E-05,-4.145031204,cell death inducing p53 target 1
PPP1R16B,0.002597059,3.40E-05,-4.145148841,protein phosphatase 1 regulatory subunit 16B
TSC1,0.002647873,3.51E-05,4.137824517,TSC complex subunit 1
ZCCHC24,0.002647873,3.49E-05,-4.139039496,zinc finger CCHC-type containing 24
CRYM,0.002665372,3.61E-05,4.130875095,crystallin mu
HTR2A,0.002665372,3.61E-05,4.131426337,5-hydroxytryptamine receptor 2A
MRPS17,0.002665372,3.61E-05,4.131414807,mitochondrial ribosomal protein S17
TBX6,0.002665372,3.58E-05,-4.133099041,T-box 6
ARGLU1,0.002711062,3.70E-05,4.125624923,arginine and glutamate rich 1
PPP1CB,0.00277958,3.81E-05,4.118541673,protein phosphatase 1 catalytic subunit beta
ATP6V1G2,0.002792228,3.85E-05,4.116166254,ATPase H+ transporting V1 subunit G2
GTF3C1,0.002816592,3.91E-05,4.112840087,general transcription factor IIIC subunit 1
MFHAS1,0.002861781,3.99E-05,-4.107849358,malignant fibrous histiocytoma amplified sequence 1
RRAGA,0.002897425,4.07E-05,4.103678742,Ras related GTP binding A
MTSS1,0.003060818,4.32E-05,4.089668672,"MTSS1, I-BAR domain containing"
MZT2B,0.003083392,4.38E-05,-4.086663728,mitotic spindle organizing protein 2B
LPAR4,0.003119773,4.45E-05,-4.082646224,lysophosphatidic acid receptor 4
CCNA1,0.003131223,4.49E-05,4.080507577,cyclin A1
COL11A2,0.003131799,4.52E-05,-4.079184029,collagen type XI alpha 2 chain
SLC2A1,0.003230759,4.69E-05,-4.070669183,solute carrier family 2 member 1
DCLK1,0.003312771,4.91E-05,4.059849164,doublecortin like kinase 1
EIF3G,0.003312771,4.93E-05,4.059082794,eukaryotic translation initiation factor 3 subunit G
LAMP5,0.003312771,4.91E-05,4.059953412,lysosomal associated membrane protein family member 5
PRKRA,0.003312771,4.94E-05,-4.058534599,protein activator of interferon induced protein kinase EIF2AK2
SULT4A1,0.003312771,4.92E-05,4.059555452,sulfotransferase family 4A member 1
CRMP1,0.003355081,5.12E-05,4.049874219,collapsin response mediator protein 1
ENO2,0.003355081,5.08E-05,4.051929846,enolase 2
LOC101929232 /// PDCD6IPP2,0.003355081,5.14E-05,-4.048946568,NA
NPTX2,0.003355081,5.18E-05,4.04754251,neuronal pentraxin 2
RGS2,0.003355081,5.19E-05,4.047017044,regulator of G protein signaling 2
TM9SF2,0.003355081,5.09E-05,4.051253326,transmembrane 9 superfamily member 2
TMEM106C,0.003355081,5.15E-05,-4.048540905,transmembrane protein 106C
EIF2B3,0.003358771,5.22E-05,4.045561582,eukaryotic translation initiation factor 2B subunit gamma
PSMD12,0.003397141,5.31E-05,4.041707083,"proteasome 26S subunit, non-ATPase 12"
LCAT,0.003429494,5.38E-05,-4.038296516,lecithin-cholesterol acyltransferase
MEAF6,0.003441866,5.49E-05,4.033921188,MYST/Esa1 associated factor 6
WDR37,0.003441866,5.44E-05,4.035753613,WD repeat domain 37
XRCC6,0.003441866,5.46E-05,-4.034894267,X-ray repair cross complementing 6
ARHGEF1 /// LOC100505585,0.003450748,5.55E-05,-4.030989696,NA
TMEM183A /// TMEM183B,0.003450748,5.55E-05,4.031166061,NA
ACADS,0.003505755,5.70E-05,-4.024953611,acyl-CoA dehydrogenase short chain
LPAR1,0.003505755,5.73E-05,-4.023819648,lysophosphatidic acid receptor 1
TMSB15A /// TMSB15B,0.003505755,5.70E-05,-4.024740264,NA
NME1,0.003513449,5.78E-05,4.021612272,NME/NM23 nucleoside diphosphate kinase 1
SUB1,0.003513449,5.79E-05,-4.021028455,"SUB1 homolog, transcriptional regulator"
MAP1B,0.003527933,5.85E-05,-4.018929309,microtubule associated protein 1B
MOCS2,0.003532151,5.90E-05,4.016831436,molybdenum cofactor synthesis 2
ZNRF4,0.003532151,5.91E-05,-4.016402733,zinc and ring finger 4
PTMA,0.00354557,5.98E-05,-4.013407953,prothymosin alpha
SGSM2,0.00354557,5.99E-05,-4.013283254,small G protein signaling modulator 2
TOB1,0.003773411,6.40E-05,-3.997455156,"transducer of ERBB2, 1"
CKMT1A /// CKMT1B,0.003882634,6.64E-05,3.988697632,NA
LOC101060321 /// LOC101060351 /// LOC101060376 /// LOC101060389 /// LOC102723859 /// LOC102724862 /// TBC1D3 /// TBC1D3C /// TBC1D3F /// TBC1D3H,0.003882634,6.65E-05,3.98848679,NA
CBR4,0.003905049,6.72E-05,-3.986024316,carbonyl reductase 4
POFUT1,0.003929812,6.79E-05,-3.983431357,protein O-fucosyltransferase 1
SNX10,0.003936985,6.84E-05,3.981910811,sorting nexin 10
PPA1,0.003948865,6.89E-05,3.980111924,pyrophosphatase (inorganic) 1
RUNX3,0.003968521,6.95E-05,-3.977852911,runt related transcription factor 3
ANKRD34C,0.003994828,7.04E-05,3.974845713,ankyrin repeat domain 34C
NDUFA4,0.003994828,7.06E-05,3.974137205,"NDUFA4, mitochondrial complex associated"
MT1X,0.004078605,7.24E-05,-3.968127587,metallothionein 1X
LOC101060373 /// NOMO1 /// NOMO2 /// NOMO3,0.004101019,7.32E-05,3.965758854,NA
SPR,0.004180639,7.49E-05,-3.960111707,sepiapterin reductase
ACTR1B,0.004274703,7.78E-05,3.951161369,ARP1 actin related protein 1 homolog B
GYG1,0.004274703,7.80E-05,3.950598387,glycogenin 1
HSPB8,0.004274703,7.75E-05,-3.951895494,heat shock protein family B (small) member 8
TAF15,0.004274703,7.77E-05,-3.951460891,TATA-box binding protein associated factor 15
BAI3,0.004289487,7.92E-05,-3.946669015,NA
CDC37,0.004289487,7.90E-05,3.947426691,cell division cycle 37
CHD1,0.004289487,7.87E-05,-3.948203463,chromodomain helicase DNA binding protein 1
SERPINI1,0.004386767,8.14E-05,3.940266844,serpin family I member 1
MT1H,0.004400674,8.20E-05,-3.938484286,metallothionein 1H
ARMC2-AS1 /// ATP5J2,0.004414026,8.26E-05,3.936737848,NA
ADK,0.004496309,8.45E-05,3.931285224,adenosine kinase
OSBPL3,0.004562319,8.65E-05,3.925758462,oxysterol binding protein like 3
TAGLN3,0.004562319,8.64E-05,3.925975243,transgelin 3
ELF1,0.004627987,8.82E-05,-3.920956744,E74 like ETS transcription factor 1
ENTPD2,0.004627987,8.84E-05,-3.920309795,ectonucleoside triphosphate diphosphohydrolase 2
KCNF1,0.004632085,8.89E-05,3.919098463,potassium voltage-gated channel modifier subfamily F member 1
FLJ11710,0.004687048,9.03E-05,-3.915259402,NA
PTH1R,0.004687834,9.07E-05,-3.91422802,parathyroid hormone 1 receptor
DBR1,0.004703585,9.14E-05,-3.912431205,debranching RNA lariats 1
EMC3,0.004776028,9.41E-05,-3.905315659,ER membrane protein complex subunit 3
PFDN5,0.004776028,9.43E-05,3.90482495,prefoldin subunit 5
PMEPA1,0.004776028,9.33E-05,-3.907269047,"prostate transmembrane protein, androgen induced 1"
SORL1,0.004776028,9.37E-05,3.906385238,sortilin related receptor 1
POU5F1B,0.004804644,9.52E-05,-3.902410291,POU class 5 homeobox 1B
CDH10,0.004847545,9.65E-05,3.899292199,cadherin 10
FAU,0.004866509,9.72E-05,3.89738349,"FAU, ubiquitin like and ribosomal protein S30 fusion"
MIR6834 /// PFDN6,0.004945049,9.93E-05,-3.892190926,NA
NBAS,0.004945049,9.96E-05,-3.891586062,neuroblastoma amplified sequence
CASP7,0.005023958,0.000101895,-3.886035335,caspase 7
NXT1,0.005023958,0.000101977,3.885839312,nuclear transport factor 2 like export factor 1
FAM162A,0.005073078,0.000103376,-3.882527685,family with sequence similarity 162 member A
HEXB,0.00514807,0.000105313,3.878014204,hexosaminidase subunit beta
SLCO3A1,0.005243513,0.000107836,-3.872248269,solute carrier organic anion transporter family member 3A1
SNAP91,0.005243513,0.000108097,3.871660309,synaptosome associated protein 91
EPB41L3,0.005307728,0.000110023,3.867353502,erythrocyte membrane protein band 4.1 like 3
SECISBP2L,0.005307728,0.000110683,-3.865894269,SECIS binding protein 2 like
TUBB3,0.005307728,0.00011028,3.866783526,tubulin beta 3 class III
CAP1,0.005308197,0.00011112,3.864932473,cyclase associated actin cytoskeleton regulatory protein 1
LOC102724229 /// RASA4 /// RASA4B,0.005308197,0.000111534,-3.864023605,NA
MT1F,0.005393315,0.000114041,-3.858593625,metallothionein 1F
SIGLEC1,0.005393315,0.000114178,-3.858300573,sialic acid binding Ig like lectin 1
NXN,0.00548526,0.00011656,-3.853251393,nucleoredoxin
KIFAP3,0.005505498,0.000118736,3.848721778,kinesin associated protein 3
MIR1304 /// SNORA1 /// SNORA18 /// SNORA32 /// SNORA40 /// SNORA8 /// SNORD5 /// TAF1D,0.005505498,0.000118202,3.849825318,NA
NSA2,0.005505498,0.000118578,3.849046625,"NSA2, ribosome biogenesis homolog"
RIT2,0.005505498,0.000118024,3.850195563,Ras like without CAAX 2
CRYBB2 /// CRYBB2P1,0.005515392,0.000119386,3.847382578,NA
PGM3,0.005521122,0.000119948,3.846231873,phosphoglucomutase 3
NDN,0.005612978,0.000122389,3.84129102,"necdin, MAGE family member"
ELMO2,0.005690878,0.000124539,-3.837015292,engulfment and cell motility 2
ZNF500,0.0057738,0.000126811,-3.832570611,zinc finger protein 500
CEBPB,0.005885362,0.000130195,-3.826089967,CCAAT enhancer binding protein beta
NRIP3,0.005885362,0.000130015,3.826430466,nuclear receptor interacting protein 3
COL1A1,0.005931121,0.000132148,-3.822421506,collagen type I alpha 1 chain
PAAF1,0.005931121,0.000131867,-3.822944834,proteasomal ATPase associated factor 1
NCOA4,0.005980004,0.000133711,3.819521452,nuclear receptor coactivator 4
PRDX3,0.006015536,0.000134982,-3.817186215,peroxiredoxin 3
TMED10,0.006043827,0.000136096,-3.815157078,transmembrane p24 trafficking protein 10
CDC42,0.006112276,0.000138122,3.811506674,cell division cycle 42
ARHGAP44,0.006142043,0.000139769,-3.80857673,Rho GTPase activating protein 44
SNCA,0.006142043,0.000139596,3.808882832,synuclein alpha
GNA12,0.006214045,0.000141908,-3.804819052,G protein subunit alpha 12
PRDM12,0.006214045,0.000142393,-3.803974436,PR/SET domain 12
FIG4,0.006256409,0.00014386,3.801436346,FIG4 phosphoinositide 5-phosphatase
COPS3,0.006257111,0.000144868,3.799705573,COP9 signalosome subunit 3
STAR,0.006257111,0.00014451,3.800319029,steroidogenic acute regulatory protein
GADD45G,0.006332103,0.000148613,-3.793376404,growth arrest and DNA damage inducible gamma
IGLJ3 /// IGLV3-19 /// IGLV3-19,0.006332103,0.000147769,-3.794789101,NA
PSME1,0.006332103,0.00014781,3.794719818,proteasome activator subunit 1
USP9Y,0.006332103,0.000148156,3.794139756,"ubiquitin specific peptidase 9, Y-linked"
GJA4,0.006332274,0.000149119,-3.792532505,gap junction protein alpha 4
CHGB,0.006340705,0.00014982,3.791367602,chromogranin B
PTEN,0.006470762,0.000153406,-3.785489816,phosphatase and tensin homolog
APLNR,0.006543475,0.000156168,-3.781051101,apelin receptor
UBE2L3,0.006543475,0.000155669,3.781846919,ubiquitin conjugating enzyme E2 L3
MGC12488,0.006853246,0.000164104,-3.768693802,NA
POLR2C,0.006857163,0.000166091,3.765688672,RNA polymerase II subunit C
PRDX6,0.006857163,0.000166223,-3.76548896,peroxiredoxin 6
RPS7,0.006857163,0.000166373,3.765264817,ribosomal protein S7
WAS,0.006857163,0.00016628,-3.765403943,Wiskott-Aldrich syndrome
SPINT2,0.007052437,0.00017167,3.757426612,"serine peptidase inhibitor, Kunitz type 2"
HARS2,0.007100847,0.000173411,3.754899426,"histidyl-tRNA synthetase 2, mitochondrial"
TNFAIP2,0.00724045,0.000177394,-3.749207203,TNF alpha induced protein 2
LTF,0.007259847,0.000178445,-3.747725561,lactotransferrin
FAM216A,0.007506429,0.000185101,3.738527225,family with sequence similarity 216 member A
TEX261,0.007528797,0.00018625,-3.73697158,testis expressed 261
ANXA2 /// NHP2L1,0.007541312,0.000187158,3.735748686,NA
ABLIM1,0.007595641,0.000193324,-3.727584338,actin binding LIM protein 1
AMOTL2,0.007595641,0.000191797,-3.729582846,angiomotin like 2
DNAJB6 /// TMEM135,0.007595641,0.000191014,3.730613844,NA
FAM98A,0.007595641,0.000190753,-3.730958483,family with sequence similarity 98 member A
MAFF,0.007595641,0.000192802,-3.72826561,MAF bZIP transcription factor F
MICAL2,0.007595641,0.000189173,3.733052272,"microtubule associated monooxygenase, calponin and LIM domain containing 2"
MLC1,0.007595641,0.000191338,-3.730186437,megalencephalic leukoencephalopathy with subcortical cysts 1
RP11-69I8.2,0.007595641,0.000193134,-3.727832062,NA
PML,0.007618462,0.000194509,-3.726043599,promyelocytic leukemia
TRMT61A,0.007644892,0.00019579,-3.724387833,tRNA methyltransferase 61A
GALE,0.00779944,0.00020046,-3.718435695,UDP-galactose-4-epimerase
LUZP1,0.00779944,0.000200985,-3.717775658,leucine zipper protein 1
COX5B,0.007813245,0.00020196,3.716552265,cytochrome c oxidase subunit 5B
BDNF,0.007828284,0.000203943,3.714081076,brain derived neurotrophic factor
DYRK4,0.007828284,0.000204037,3.713964823,dual specificity tyrosine phosphorylation regulated kinase 4
SPI1,0.007828284,0.000204211,-3.713749781,Spi-1 proto-oncogene
MAP2K4,0.007867661,0.000205862,3.711712508,mitogen-activated protein kinase kinase 4
RBM25,0.007935372,0.000208527,-3.708455641,RNA binding motif protein 25
ZMAT4,0.007935372,0.000208892,3.708013158,zinc finger matrin-type 4
XPC,0.008051633,0.000212591,3.703564984,"XPC complex subunit, DNA damage recognition and repair factor"
EXT1,0.008086857,0.000214803,-3.700938981,exostosin glycosyltransferase 1
SNORA29 /// TCP1,0.008086857,0.000214508,3.701287871,NA
MYL3,0.0080932,0.000215613,-3.6999837,myosin light chain 3
FTSJ1,0.008308329,0.000222003,-3.692565195,FtsJ RNA methyltransferase homolog 1
SENP5,0.008349179,0.000223757,-3.690564495,SUMO specific peptidase 5
UBE2V2,0.008399988,0.000225785,3.688269262,ubiquitin conjugating enzyme E2 V2
LFNG,0.008492056,0.000228933,-3.684743937,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
PNN,0.008599414,0.000232509,3.680794066,"pinin, desmosome associated protein"
DHCR24,0.008670125,0.000235108,3.677958649,24-dehydrocholesterol reductase
BAG3,0.008673678,0.000237266,-3.675627285,BCL2 associated athanogene 3
COPG2IT1,0.008673678,0.000237268,3.675625259,COPG2 imprinted transcript 1 (non-protein coding)
PTAFR,0.008673678,0.000236224,-3.676750486,platelet activating factor receptor
MADD,0.008819032,0.000241943,3.670640972,MAP kinase activating death domain
